Domain,下一步,操作入口,获取方式,处理结果,已确认事实,缺失事实,证据URL,证据日期,外链形式,DR,成功项目数
aiproductshunt.com,可以做——去操作入口发布,https://aiproductshunt.com,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 2 条外部链接全部为 Follow,,https://aiproductshunt.com/app/paymentlink,2026-09-02,Follow 外链,,
ariusai.com,可以做——去操作入口发布,https://ariusai.com/products/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 9 条外部链接全部为 Follow,,https://ariusai.com/products/northpole-direct/,2026-09-02,Follow 外链,,
chintankadhiportfolio.com,可以做——去操作入口发布,https://www.chintankadhiportfolio.com/exploretools,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 1 条外部链接全部为 Follow,,https://www.chintankadhiportfolio.com/exploretools-1/ai-stickers,2026-09-02,Follow 外链,,
edmontonhomesales.ca,可以做——去操作入口发布,https://edmontonhomesales.ca/blog/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 11 条外部链接全部为 Follow,,https://edmontonhomesales.ca/blog/listing/9336-183-av-nw-edmonton-alberta-t5z-0v1-30217463/,2026-09-02,Follow 外链,,
fazier.com,可以做——去操作入口发布,https://fazier.com/launches/fatemaster,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 80 条外部链接全部为 Follow,,https://fazier.com/launches/yttoolsonline-ai-2,2026-09-02,Follow 外链,,
mrrwars.com,可以做——去操作入口发布,https://mrrwars.com/claim,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 5 条外部链接全部为 Follow,,https://mrrwars.com/startup/stan,2026-09-02,Follow 外链,,
peerlist.io,可以做——去操作入口发布,https://peerlist.io/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 3 条外部链接全部为 Follow,,https://peerlist.io/tools/readme-badge,2026-09-02,Follow 外链,,
project-awesome.org,可以做——去操作入口发布,https://project-awesome.org/r/frontend-dev-bookmarks,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 118 条外部链接全部为 Follow,,https://project-awesome.org/r/es6-tools,2026-09-02,Follow 外链,,
realaiexamples.com,可以做——去操作入口发布,https://realaiexamples.com/tools,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 2 条外部链接全部为 Follow,,https://realaiexamples.com/ai-examples/marketing-ops/novatool-review-assistant,2026-09-02,Follow 外链,,
saleswise.ai,可以做——去操作入口发布,https://www.saleswise.ai/submit,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 6 条外部链接全部为 Follow,,https://www.saleswise.ai/free-tools/seller-net-sheet-calculator,2026-09-02,Follow 外链,,
seogant.ai,可以做——去操作入口发布,https://seogant.ai/accounts/login/?context=founder&next=%2Fsubmit%2Ftool%2F,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 5 条外部链接全部为 Follow,,https://seogant.ai/tools/involve-me/,2026-09-02,Follow 外链,,
thecloudherald.com,可以做——去操作入口发布,https://www.thecloudherald.com/2025/03/guest-posting-promote-your-business-online.html,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 5 条外部链接全部为 Follow,,https://www.thecloudherald.com/p/author.html,2026-09-02,Follow 外链,,
thehackstack.com,可以做——去操作入口发布,https://thehackstack.com/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 5 条外部链接全部为 Follow,,https://thehackstack.com/product/a5ddf160-3c19-4df4-ad20-79ecb28fb9cc,2026-09-02,Follow 外链,,
ubi-interactive.com,可以做——去操作入口发布,https://www.ubi-interactive.com/category/latest-news/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 4 条外部链接全部为 Follow,,https://www.ubi-interactive.com/news/2026/08/21/how-hvac-maintenance-can-help-prevent-unexpected-breakdowns/,2026-09-02,Follow 外链,,
usecasesforagents.com,可以做——去操作入口发布,https://usecasesforagents.com/submit/,免费,正式机会,入口页有免费措辞且无付费信号；样例公开页可索引；样例页 23 条外部链接全部为 Follow,,https://usecasesforagents.com/use-case/aliexpress-affiliate-product-finder-bot/,2026-09-02,Follow 外链,,
4ucoz.net,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://4ucoz.net/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://4ucoz.net/2026/08/16/https-mehrnews-com-x3cpbg-26-mrdad-1405-1-13-kd-mtlb-26-mrdad-1405-1-13-amam-jm-/,2026-09-02,Follow 外链,,
88labs.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://88labs.ai/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 9 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://88labs.ai/blog/grok-bot-bank-account-liability-cap-ai-agents,2026-09-02,Follow 外链,,
a1.gallery,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.a1.gallery/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 24 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.a1.gallery/type/blog,2026-09-02,Follow 外链,,
ad-traffic.net,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://ad-traffic.net/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://ad-traffic.net/2026/08/16/https-mehrnews-com-x3cpkb-25-mrdad-1405-15-23-kd-mtlb-25-mrdad-1405-15-23-takyd-/,2026-09-02,Follow 外链,,
adminwebads.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://adminwebads.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://adminwebads.com/2026/08/17/pasaules-cempione-anastasija-samoilova-socialaja-tikla-vers-uzmanibu-uz-nepietie/,2026-09-02,Follow 外链,,
aeocontent.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.aeocontent.ai/blog/platform-shopping-stalls-when-the-gap-is-original-data/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 25 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.aeocontent.ai/blog/which-ai-engine-actually-ranks-your-brand-the-data/,2026-09-02,Follow 外链,,
agentpulse.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://agentpulse.ai/blog,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 3 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://agentpulse.ai/tools/open-house-social-media-caption-generator,2026-09-02,Follow 外链,,
ai-nav.space,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://ai-nav.space/add,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://ai-nav.space/tools/cmpsdv06f001cl5jxmu3tvfad/,2026-09-02,Follow 外链,,
aianytool.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aianytool.com/tools,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aianytool.com/tool/wazzap-ai,2026-09-02,Follow 外链,,
aibusinesssites.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aibusinesssites.com/tools,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aibusinesssites.com/features/newsletter,2026-09-02,Follow 外链,,
aicatalog.com.ua,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aicatalog.com.ua/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 12 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aicatalog.com.ua/tool/claude,2026-09-02,Follow 外链,,
aicavo.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aicavo.com/tools,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 26 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aicavo.com/tools/latest,2026-09-02,Follow 外链,,
aicorner.net,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aicorner.net/submit-tool,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aicorner.net/ai-tools/chatgpt,2026-09-02,Follow 外链,,
aideckly.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aideckly.com/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 5 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aideckly.com/tools/tunio,2026-09-02,Follow 外链,,
aidirectori.es,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.aidirectori.es/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.aidirectori.es/ai-tools/brandreply,2026-09-02,Follow 外链,,
aifinderplus.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aifinderplus.com/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 14 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aifinderplus.com/item/toolbench,2026-09-02,Follow 外链,,
aifutureadda.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aifutureadda.com/submit-tool/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 9 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aifutureadda.com/ai-tools/replyzen/,2026-09-02,Follow 外链,,
